area_id,store_name,catch_copy,atmosphere_text,address,nearest_station_name,walk_minutes,regular_holiday,phone_number,has_lunch,lunch_hours,lunch_price_from,has_dinner,dinner_hours,dinner_price_from,scene_solo,scene_date,scene_friends,scene_family,spice_support_text,reservation_text,seat_type_text,map_url,official_site_url,information_source_type,information_source_url,last_verified_on,is_published
1,タイ国料理 バンタイ,味・香り・空間でタイ文化を楽しめる老舗,タイ製の家具や雑貨でまとめた、ゆったりした空間,東京都新宿区歌舞伎町1-23-14 第1メトロビル3F,新宿駅,5,無休,03-3207-0068,true,月～金 11:30～15:30（L.O.15:00）,800,true,月～金 17:00～23:00、土日祝 11:30～23:00（L.O.22:00）,935,false,false,false,false,,予約可・ランチタイムは予約不可,110席・個室なし・全席禁煙,https://www.google.com/maps/search/?api=1&query=タイ国料理+バンタイ,https://ban-thai.studio.site/,公式サイト・政府認定サイト,https://thaiselect.jp/restaurants/restaurant_46/,2026-09-11,false
1,タイ国料理 ゲウチャイ 新宿店,本場の味をリーズナブルに楽しめるタイ国料理の老舗,全面窓で開放的な、カウンター席やソファー席、個室、円卓のある店内,東京都新宿区新宿3-21-7 東新ビル2F,新宿三丁目駅,2,,03-3226-9991,true,11:00～16:00,900,true,16:00～22:00（L.O.21:30）,748,true,false,true,true,辛さ調節可（スタッフへ申告）,電話予約可,カウンター席9席、ソファー席、個室12席、円卓あり,https://goo.gl/maps/H4xf4xqr3pEsbXc4A,https://www.keawjai.com/shop.html?shop=shinjuku,公式サイト,https://www.keawjai.com/shop.html?shop=shinjuku,2026-09-11,false
1,ソムオー 新大久保店,100種類以上の本格タイ・ベトナム料理を楽しめるタイ・セレクト認定店,落ち着いた雰囲気とおしゃれなインテリア、開放的なテラス席のある店内,東京都新宿区百人町1-11-24 YSビル1F,新大久保駅,1,無休,03-3366-8686,true,11:00～15:30（L.O.15:00）,750,true,15:30～23:30（L.O.23:00）,440,false,false,true,true,辛さ調整可（スタッフへ申告）,ネット予約可,テーブル席、テラス席8席、貸切可,https://www.google.com/maps/search/?api=1&query=ソムオー%20新大久保店,https://www.instagram.com/somuo.shinokubo/,店舗登録ページ,https://www.hotpepper.jp/strJ004470571/,2026-09-11,false
1,バンコクスパイス 新宿,新宿駅近くで本格タイ料理を楽しめるタイ・セレクト認定店,タイのオリエンタルムードを感じる、ゆったり寛げるリゾートテイストの店内,東京都新宿区西新宿1-14-4 小黒ビル1F,新宿駅,3,年末年始（12月30日～1月3日）,03-5325-1212,true,11:00～15:00（L.O.14:30）,1050,true,17:00～22:00（料理L.O.21:00、ドリンクL.O.21:30）,550,true,false,true,true,辛さ調節可（スタッフへ申告）,"ネット予約可（予約は税抜1,500円以上の利用から）",41席、カウンター席あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=バンコクスパイス%20新宿,https://bangkokspice.owst.jp/,公式サイト,https://bangkokspice.owst.jp/,2026-09-11,false
1,マンゴツリーカフェ新宿,新宿駅直結で本格タイ料理を気軽に楽しめるタイ・セレクト認定カフェ,シックで落ち着いた、ゆっくり寛げるカフェスタイルの店内,東京都新宿区西新宿1-1-5 ルミネ新宿1 7F,新宿駅,1,ルミネ新宿の休館日に準ずる,03-6380-2535,true,11:00～17:00,1500,true,17:00～22:00（L.O.21:30）,2000,false,true,true,false,,公式オンライン予約可,28席、テーブル席、全席禁煙,https://www.google.com/maps/search/?api=1&query=マンゴツリーカフェ%20新宿,https://www.arclandservice.co.jp/mangotree/mangotree-cafe/,公式サイト・施設公式サイト・政府認定サイト,https://www.arclandservice.co.jp/mangotree/mangotree-cafe/,2026-09-11,false
2,タイ料理研究所 渋谷店,渋谷駅から徒歩5分、本場の味を気軽に楽しめるタイ・セレクト認定店,笑顔と活気があり、テーブル席とカウンター席を備えた店内,東京都渋谷区桜丘町24-8 新南平台マンション102号室,渋谷駅,5,無休,03-6455-3229,true,11:30～15:00（L.O.14:30）,1400,true,17:00～23:00（フードL.O.22:00、ドリンクL.O.22:30）,550,true,false,true,false,,公式Web予約可,23席（カウンター5席、テーブル18席）,https://www.google.com/maps/search/?api=1&query=タイ料理研究所%20渋谷店,https://www.sscy.co.jp/business_restaurant/thaifoodlabo/,公式サイト・タイ政府認定サイト,https://www.sscy.co.jp/business_restaurant/thaifoodlabo/,2026-09-11,false
2,チャオタイ 渋谷アクシュ店,渋谷駅徒歩1分、タイとモダンが融合したタイ・セレクト認定店,タイとモダンを融合させた雰囲気の店内,東京都渋谷区渋谷2-17-1 渋谷アクシュ1F,渋谷駅,1,,03-3797-7767,true,11:00～15:00（L.O.14:30）,1100,true,17:00～23:00,2000,false,false,true,false,,予約可,34席、個室なし、館内禁煙,https://www.google.com/maps/search/?api=1&query=チャオタイ%20渋谷アクシュ店,https://chaothai.jp/,施設公式サイト・店舗公式サイト,https://www.shibuya-axsh.jp/shop/detail/?scd=000034,2026-09-11,false
2,バンコク屋台 カオサン 渋谷宮益坂店,渋谷駅徒歩4分、活気あるバンコク屋台の雰囲気を楽しめるタイ・セレクト認定店,やさしいピンクを基調とした、タイ語が飛び交う活気ある屋台風の店内,東京都渋谷区渋谷1-8-5 小山ビル2F,渋谷駅,4,年中無休（年末年始のみ休業）,03-6712-5903,true,月～金 11:00～17:29／土日祝 11:30～17:29,990,true,月～木 17:30～22:00（L.O.21:30）／金土 17:30～22:30（L.O.22:00）／日祝 17:30～21:30（L.O.21:00）,400,true,false,true,true,,Web・電話予約可,43席、テーブル席、半個室あり、カウンターなし、全席禁煙,https://www.google.com/maps/search/?api=1&query=バンコク屋台%20カオサン%20渋谷宮益坂店,https://spiceroad.co.jp/Shop_ShibuyaMiyamasu.html,運営会社公式サイト・店舗公式予約サイト・タイ政府認定サイト,https://khaoksan.owst.jp/,2026-09-11,false
2,タイガーデン 渋谷店,渋谷駅徒歩2分、アジアンテイストの空間で本格タイ料理を楽しめるタイ・セレクト認定店,タイから仕入れた置物を配した、異国情緒あふれるアジアンテイストの店内,東京都渋谷区宇田川町24-10 B1,渋谷駅,2,年中無休,050-5486-1346,true,11:30～15:00（L.O.14:30）,1098,true,月～金 17:00～22:00／土日祝 15:00～22:00（料理L.O.21:00、ドリンクL.O.21:30）,418,true,false,true,true,辛さの調整可。ベジタリアン対応は要相談,Web・電話予約可,80席、カウンター席・掘りごたつ席・6名用個室あり、全席禁煙,https://www.google.com/maps/search/?api=1&query=タイガーデン%20渋谷店,https://gadb202.gorp.jp/,店舗公式サイト・タイ政府認定サイト,https://gadb202.gorp.jp/,2026-09-11,false
2,DADAÏ THAI VIETNAMESE DIMSUM,渋谷駅徒歩3分、タイ・ベトナム料理と点心を楽しめるモダンアジアンレストラン,巨大なアートとバーカウンターが印象的な、クラシックとモダンが融合した開放的な店内,東京都渋谷区神宮前6-20-10 MIYASHITA PARK North 1階 10500,渋谷駅,3,なし,03-6734-0888,true,11:30～15:00（平日ランチメニュー）,1150,true,月～土・祝前日 17:00～23:00（料理L.O.22:00、ドリンクL.O.22:30）／日祝 17:00～22:00（料理L.O.21:00、ドリンクL.O.21:30）,4000,true,true,true,true,,公式Web予約可,166席（店内134席、テラス32席）、バーカウンターあり。未就学児同伴は17:00まで・案内席限定,https://www.google.com/maps/search/?api=1&query=DADAI%20THAI%20VIETNAMESE%20DIMSUM,https://www.huge.co.jp/service/restaurant/modern_asian/dadai/,運営会社公式サイト・施設公式サイト,https://www.huge.co.jp/service/restaurant/modern_asian/dadai/,2026-09-11,false
